,Song Title,Artist,YouTube Views,Spotify Plays,DSP Revenues (Est)
0,Wish You the Worst,Alemeda,13023,553447.0,4981.03
1,Grammy,ARDN,23675,291529.0,2634.48
3,Face,Elhae,76842,248046.0,2237.78
4,Duck Duck Goose,Joyner Lucas,5868024,14107967.0,127385.82
5,Rich Shit,Lil Gotit,242288,889367.0,4004.31
6,Soll Kommen Wer Will,Luciano,942068,7273216.0,65458.94
7,Ugly,Russ,6095018,34464022.0,310176.2
8,Outro,Vory,108899,342314.0,3080.83
9,Lost Angels,Vory,137483,211604.0,1904.44
10,Flawed,Wale,3116570,381456.0,3433.1
